11-10 00:31:32, ProcessMonitorThread::checkState, pid: 2297, owner: system, res_mem: 89M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrbootstrap
11-10 00:31:42, ProcessMonitorThread::checkState, pid: 9685, owner: system, res_mem: 330M, status: S, cpu(%): 26.5, mem(%): 2.1, cmd: com.android.perceptionhost
11-10 00:31:42, ProcessMonitorThread::checkState, pid: 2454, owner: system, res_mem: 134M, status: S, cpu(%): 2.4, mem(%): 0.8, cmd: com.android.cpmcamera
11-10 00:31:42, ProcessMonitorThread::checkState, pid: 3020, owner: u0_a139, res_mem: 91M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrcb
11-10 00:31:42, ProcessMonitorThread::checkState, pid: 2929, owner: system, res_mem: 109M, status: S, cpu(%): 0.0, mem(%): 0.6, cmd: com.qualcomm.qti.spaces.services:QXRCoreServiceProcess
11-10 00:31:42, ProcessMonitorThread::checkState, pid: 2297, owner: system, res_mem: 89M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrbootstrap
11-10 00:31:52, ProcessMonitorThread::checkState, pid: 9685, owner: system, res_mem: 330M, status: S, cpu(%): 27.0, mem(%): 2.1, cmd: com.android.perceptionhost
11-10 00:31:52, ProcessMonitorThread::checkState, pid: 2454, owner: system, res_mem: 134M, status: S, cpu(%): 2.6, mem(%): 0.8, cmd: com.android.cpmcamera
11-10 00:31:52, ProcessMonitorThread::checkState, pid: 3020, owner: u0_a139, res_mem: 91M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrcb
11-10 00:31:52, ProcessMonitorThread::checkState, pid: 2929, owner: system, res_mem: 109M, status: S, cpu(%): 0.0, mem(%): 0.6, cmd: com.qualcomm.qti.spaces.services:QXRCoreServiceProcess
11-10 00:31:52, ProcessMonitorThread::checkState, pid: 2297, owner: system, res_mem: 89M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrbootstrap
11-10 00:32:02, ProcessMonitorThread::checkState, pid: 9685, owner: system, res_mem: 330M, status: S, cpu(%): 25.1, mem(%): 2.1, cmd: com.android.perceptionhost
11-10 00:32:02, ProcessMonitorThread::checkState, pid: 2454, owner: system, res_mem: 134M, status: S, cpu(%): 2.5, mem(%): 0.8, cmd: com.android.cpmcamera
11-10 00:32:02, ProcessMonitorThread::checkState, pid: 3020, owner: u0_a139, res_mem: 91M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrcb
11-10 00:32:02, ProcessMonitorThread::checkState, pid: 2929, owner: system, res_mem: 109M, status: S, cpu(%): 0.0, mem(%): 0.6, cmd: com.qualcomm.qti.spaces.services:QXRCoreServiceProcess
11-10 00:32:02, ProcessMonitorThread::checkState, pid: 2297, owner: system, res_mem: 89M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrbootstrap
11-10 00:32:12, ProcessMonitorThread::checkState, pid: 9685, owner: system, res_mem: 330M, status: S, cpu(%): 25.8, mem(%): 2.1, cmd: com.android.perceptionhost
11-10 00:32:12, ProcessMonitorThread::checkState, pid: 2454, owner: system, res_mem: 134M, status: S, cpu(%): 2.4, mem(%): 0.8, cmd: com.android.cpmcamera
11-10 00:32:12, ProcessMonitorThread::checkState, pid: 3020, owner: u0_a139, res_mem: 91M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrcb
11-10 00:32:12, ProcessMonitorThread::checkState, pid: 2929, owner: system, res_mem: 109M, status: S, cpu(%): 0.0, mem(%): 0.6, cmd: com.qualcomm.qti.spaces.services:QXRCoreServiceProcess
11-10 00:32:12, ProcessMonitorThread::checkState, pid: 2297, owner: system, res_mem: 89M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrbootstrap
11-10 00:32:22, ProcessMonitorThread::checkState, pid: 9685, owner: system, res_mem: 330M, status: S, cpu(%): 25.6, mem(%): 2.1, cmd: com.android.perceptionhost
11-10 00:32:22, ProcessMonitorThread::checkState, pid: 2454, owner: system, res_mem: 134M, status: S, cpu(%): 2.4, mem(%): 0.8, cmd: com.android.cpmcamera
11-10 00:32:22, ProcessMonitorThread::checkState, pid: 3020, owner: u0_a139, res_mem: 91M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrcb
11-10 00:32:22, ProcessMonitorThread::checkState, pid: 2929, owner: system, res_mem: 109M, status: S, cpu(%): 0.0, mem(%): 0.6, cmd: com.qualcomm.qti.spaces.services:QXRCoreServiceProcess
11-10 00:32:22, ProcessMonitorThread::checkState, pid: 2297, owner: system, res_mem: 89M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrbootstrap
11-10 00:32:32, ProcessMonitorThread::checkState, pid: 9685, owner: system, res_mem: 330M, status: S, cpu(%): 26.7, mem(%): 2.1, cmd: com.android.perceptionhost
11-10 00:32:32, ProcessMonitorThread::checkState, pid: 2454, owner: system, res_mem: 134M, status: S, cpu(%): 2.6, mem(%): 0.8, cmd: com.android.cpmcamera
11-10 00:32:32, ProcessMonitorThread::checkState, pid: 3020, owner: u0_a139, res_mem: 91M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrcb
11-10 00:32:32, ProcessMonitorThread::checkState, pid: 2929, owner: system, res_mem: 109M, status: S, cpu(%): 0.0, mem(%): 0.6, cmd: com.qualcomm.qti.spaces.services:QXRCoreServiceProcess
11-10 00:32:32, ProcessMonitorThread::checkState, pid: 2297, owner: system, res_mem: 89M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrbootstrap
11-10 00:32:42, ProcessMonitorThread::checkState, pid: 9685, owner: system, res_mem: 330M, status: S, cpu(%): 26.3, mem(%): 2.1, cmd: com.android.perceptionhost
11-10 00:32:42, ProcessMonitorThread::checkState, pid: 2454, owner: system, res_mem: 134M, status: S, cpu(%): 2.5, mem(%): 0.8, cmd: com.android.cpmcamera
11-10 00:32:42, ProcessMonitorThread::checkState, pid: 3020, owner: u0_a139, res_mem: 91M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrcb
11-10 00:32:42, ProcessMonitorThread::checkState, pid: 2929, owner: system, res_mem: 109M, status: S, cpu(%): 0.0, mem(%): 0.6, cmd: com.qualcomm.qti.spaces.services:QXRCoreServiceProcess
11-10 00:32:42, ProcessMonitorThread::checkState, pid: 2297, owner: system, res_mem: 89M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrbootstrap
11-10 00:32:52, ProcessMonitorThread::checkState, pid: 9685, owner: system, res_mem: 330M, status: S, cpu(%): 28.2, mem(%): 2.1, cmd: com.android.perceptionhost
11-10 00:32:52, ProcessMonitorThread::checkState, pid: 2454, owner: system, res_mem: 134M, status: S, cpu(%): 2.9, mem(%): 0.8, cmd: com.android.cpmcamera
11-10 00:32:52, ProcessMonitorThread::checkState, pid: 3020, owner: u0_a139, res_mem: 91M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrcb
11-10 00:32:52, ProcessMonitorThread::checkState, pid: 2929, owner: system, res_mem: 109M, status: S, cpu(%): 0.0, mem(%): 0.6, cmd: com.qualcomm.qti.spaces.services:QXRCoreServiceProcess
11-10 00:32:52, ProcessMonitorThread::checkState, pid: 2297, owner: system, res_mem: 89M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrbootstrap
11-10 00:33:02, ProcessMonitorThread::checkState, pid: 9685, owner: system, res_mem: 330M, status: S, cpu(%): 30.4, mem(%): 2.1, cmd: com.android.perceptionhost
11-10 00:33:02, ProcessMonitorThread::checkState, pid: 2454, owner: system, res_mem: 134M, status: S, cpu(%): 3.1, mem(%): 0.8, cmd: com.android.cpmcamera
11-10 00:33:02, ProcessMonitorThread::checkState, pid: 3020, owner: u0_a139, res_mem: 91M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrcb
11-10 00:33:02, ProcessMonitorThread::checkState, pid: 2929, owner: system, res_mem: 109M, status: S, cpu(%): 0.0, mem(%): 0.6, cmd: com.qualcomm.qti.spaces.services:QXRCoreServiceProcess
11-10 00:33:02, ProcessMonitorThread::checkState, pid: 2297, owner: system, res_mem: 89M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrbootstrap
11-10 00:33:12, ProcessMonitorThread::checkState, pid: 9685, owner: system, res_mem: 330M, status: S, cpu(%): 31.9, mem(%): 2.1, cmd: com.android.perceptionhost
11-10 00:33:12, ProcessMonitorThread::checkState, pid: 2454, owner: system, res_mem: 134M, status: S, cpu(%): 3.2, mem(%): 0.8, cmd: com.android.cpmcamera
11-10 00:33:12, ProcessMonitorThread::checkState, pid: 3020, owner: u0_a139, res_mem: 91M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrcb
11-10 00:33:12, ProcessMonitorThread::checkState, pid: 2929, owner: system, res_mem: 109M, status: S, cpu(%): 0.0, mem(%): 0.6, cmd: com.qualcomm.qti.spaces.services:QXRCoreServiceProcess
11-10 00:33:12, ProcessMonitorThread::checkState, pid: 2297, owner: system, res_mem: 89M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrbootstrap
11-10 00:33:22, ProcessMonitorThread::checkState, pid: 9685, owner: system, res_mem: 330M, status: S, cpu(%): 32.0, mem(%): 2.1, cmd: com.android.perceptionhost
11-10 00:33:22, ProcessMonitorThread::checkState, pid: 2454, owner: system, res_mem: 134M, status: S, cpu(%): 3.3, mem(%): 0.8, cmd: com.android.cpmcamera
11-10 00:33:22, ProcessMonitorThread::checkState, pid: 3020, owner: u0_a139, res_mem: 91M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrcb
11-10 00:33:22, ProcessMonitorThread::checkState, pid: 2929, owner: system, res_mem: 109M, status: S, cpu(%): 0.0, mem(%): 0.6, cmd: com.qualcomm.qti.spaces.services:QXRCoreServiceProcess
11-10 00:33:22, ProcessMonitorThread::checkState, pid: 2297, owner: system, res_mem: 89M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrbootstrap
11-10 00:33:32, ProcessMonitorThread::checkState, pid: 9685, owner: system, res_mem: 330M, status: S, cpu(%): 32.2, mem(%): 2.1, cmd: com.android.perceptionhost
11-10 00:33:32, ProcessMonitorThread::checkState, pid: 2454, owner: system, res_mem: 134M, status: S, cpu(%): 3.3, mem(%): 0.8, cmd: com.android.cpmcamera
11-10 00:33:32, ProcessMonitorThread::checkState, pid: 3020, owner: u0_a139, res_mem: 91M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrcb
11-10 00:33:32, ProcessMonitorThread::checkState, pid: 2929, owner: system, res_mem: 109M, status: S, cpu(%): 0.0, mem(%): 0.6, cmd: com.qualcomm.qti.spaces.services:QXRCoreServiceProcess
11-10 00:33:32, ProcessMonitorThread::checkState, pid: 2297, owner: system, res_mem: 89M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrbootstrap
11-10 00:33:42, ProcessMonitorThread::checkState, pid: 9685, owner: system, res_mem: 330M, status: S, cpu(%): 31.8, mem(%): 2.1, cmd: com.android.perceptionhost
11-10 00:33:42, ProcessMonitorThread::checkState, pid: 2454, owner: system, res_mem: 134M, status: S, cpu(%): 3.4, mem(%): 0.8, cmd: com.android.cpmcamera
11-10 00:33:42, ProcessMonitorThread::checkState, pid: 3020, owner: u0_a139, res_mem: 91M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrcb
11-10 00:33:42, ProcessMonitorThread::checkState, pid: 2929, owner: system, res_mem: 109M, status: S, cpu(%): 0.0, mem(%): 0.6, cmd: com.qualcomm.qti.spaces.services:QXRCoreServiceProcess
11-10 00:33:42, ProcessMonitorThread::checkState, pid: 2297, owner: system, res_mem: 89M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrbootstrap
11-10 00:33:52, ProcessMonitorThread::checkState, pid: 9685, owner: system, res_mem: 330M, status: S, cpu(%): 29.3, mem(%): 2.1, cmd: com.android.perceptionhost
11-10 00:33:52, ProcessMonitorThread::checkState, pid: 2454, owner: system, res_mem: 134M, status: S, cpu(%): 3.0, mem(%): 0.8, cmd: com.android.cpmcamera
11-10 00:33:52, ProcessMonitorThread::checkState, pid: 3020, owner: u0_a139, res_mem: 91M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrcb
11-10 00:33:52, ProcessMonitorThread::checkState, pid: 2929, owner: system, res_mem: 109M, status: S, cpu(%): 0.0, mem(%): 0.6, cmd: com.qualcomm.qti.spaces.services:QXRCoreServiceProcess
11-10 00:33:52, ProcessMonitorThread::checkState, pid: 2297, owner: system, res_mem: 89M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrbootstrap
11-10 00:34:02, ProcessMonitorThread::checkState, pid: 9685, owner: system, res_mem: 330M, status: S, cpu(%): 30.9, mem(%): 2.1, cmd: com.android.perceptionhost
11-10 00:34:02, ProcessMonitorThread::checkState, pid: 2454, owner: system, res_mem: 134M, status: S, cpu(%): 3.1, mem(%): 0.8, cmd: com.android.cpmcamera
11-10 00:34:02, ProcessMonitorThread::checkState, pid: 3020, owner: u0_a139, res_mem: 91M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrcb
11-10 00:34:02, ProcessMonitorThread::checkState, pid: 2929, owner: system, res_mem: 109M, status: S, cpu(%): 0.0, mem(%): 0.6, cmd: com.qualcomm.qti.spaces.services:QXRCoreServiceProcess
11-10 00:34:02, ProcessMonitorThread::checkState, pid: 2297, owner: system, res_mem: 89M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrbootstrap
11-10 00:34:12, ProcessMonitorThread::checkState, pid: 9685, owner: system, res_mem: 330M, status: S, cpu(%): 31.8, mem(%): 2.1, cmd: com.android.perceptionhost
11-10 00:34:12, ProcessMonitorThread::checkState, pid: 2454, owner: system, res_mem: 134M, status: S, cpu(%): 3.2, mem(%): 0.8, cmd: com.android.cpmcamera
11-10 00:34:12, ProcessMonitorThread::checkState, pid: 3020, owner: u0_a139, res_mem: 91M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrcb
11-10 00:34:12, ProcessMonitorThread::checkState, pid: 2929, owner: system, res_mem: 109M, status: S, cpu(%): 0.0, mem(%): 0.6, cmd: com.qualcomm.qti.spaces.services:QXRCoreServiceProcess
11-10 00:34:12, ProcessMonitorThread::checkState, pid: 2297, owner: system, res_mem: 89M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrbootstrap
11-10 00:34:22, ProcessMonitorThread::checkState, pid: 9685, owner: system, res_mem: 330M, status: S, cpu(%): 32.1, mem(%): 2.1, cmd: com.android.perceptionhost
11-10 00:34:22, ProcessMonitorThread::checkState, pid: 2454, owner: system, res_mem: 134M, status: S, cpu(%): 3.2, mem(%): 0.8, cmd: com.android.cpmcamera
11-10 00:34:22, ProcessMonitorThread::checkState, pid: 3020, owner: u0_a139, res_mem: 91M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrcb
11-10 00:34:22, ProcessMonitorThread::checkState, pid: 2929, owner: system, res_mem: 109M, status: S, cpu(%): 0.0, mem(%): 0.6, cmd: com.qualcomm.qti.spaces.services:QXRCoreServiceProcess
11-10 00:34:22, ProcessMonitorThread::checkState, pid: 2297, owner: system, res_mem: 89M, status: S, cpu(%): 0.0, mem(%): 0.5, cmd: com.qualcomm.qti.xrbootstrap
11-10 00:34:32, ProcessMonitorThread::checkState, pid: 9685, owner: system, res_mem: 330M, status: S, cpu(%): 32.1, mem(%): 2.1, cmd: com.android.perceptionhost
